service_code,service_name,regions,main_resource_example
apigateway,Amazon API Gateway,us-east-1,RestApi
accessanalyzer,AWS ACCESSANALYZER,us-east-1,Resource
amplifyuibuilder,AWS AMPLIFYUIBUILDER,us-east-1,Resource
amplify,AWS AMPLIFY,us-east-1,Resource
amp,AWS AMP,us-east-1,Resource
acm,AWS ACM,us-east-1,Resource
account,AWS ACCOUNT,aws-global,Resource
amplifybackend,AWS AMPLIFYBACKEND,us-east-1,Resource
aiops,AWS AIOPS,us-east-1,Resource
acm-pca,AWS ACM-PCA,us-east-1,Resource
apigatewaymanagementapi,AWS APIGATEWAYMANAGEMENTAPI,us-east-1,Resource
appconfig,AWS APPCONFIG,us-east-1,Resource
appconfigdata,AWS APPCONFIGDATA,us-east-1,Resource
apigatewayv2,AWS APIGATEWAYV2,us-east-1,Resource
appfabric,AWS APPFABRIC,us-east-1,Resource
appintegrations,AWS APPINTEGRATIONS,us-east-1,Resource
appflow,AWS APPFLOW,us-east-1,Resource
application-insights,AWS APPLICATION-INSIGHTS,us-east-1,Resource
application-autoscaling,AWS APPLICATION-AUTOSCALING,us-east-1,Resource
application-signals,AWS APPLICATION-SIGNALS,us-east-1,Resource
applicationcostprofiler,AWS APPLICATIONCOSTPROFILER,us-east-1,Resource
appmesh,AWS APPMESH,us-east-1,Resource
apprunner,AWS APPRUNNER,us-east-1,Resource
appstream,AWS APPSTREAM,us-east-1,Resource
artifact,AWS ARTIFACT,us-east-1,Resource
arc-zonal-shift,AWS ARC-ZONAL-SHIFT,us-east-1,Resource
arc-region-switch,AWS ARC-REGION-SWITCH,us-east-1,Resource
appsync,AWS APPSYNC,us-east-1,Resource
auditmanager,AWS AUDITMANAGER,us-east-1,Resource
athena,AWS ATHENA,us-east-1,Resource
autoscaling,Auto Scaling,us-east-1,AutoScalingGroup
autoscaling-plans,AWS AUTOSCALING-PLANS,us-east-1,Resource
b2bi,AWS B2BI,us-east-1,Resource
backup,AWS BACKUP,us-east-1,Resource
backup-gateway,AWS BACKUP-GATEWAY,us-east-1,Resource
backupsearch,AWS BACKUPSEARCH,us-east-1,Resource
bcm-dashboards,AWS BCM-DASHBOARDS,us-east-1,Resource
bcm-data-exports,AWS BCM-DATA-EXPORTS,us-east-1,Resource
bcm-pricing-calculator,AWS BCM-PRICING-CALCULATOR,us-east-1,Resource
batch,AWS BATCH,us-east-1,Resource
bcm-recommended-actions,AWS BCM-RECOMMENDED-ACTIONS,us-east-1,Resource
bedrock,AWS BEDROCK,us-east-1,Resource
bedrock-agent,AWS BEDROCK-AGENT,us-east-1,Resource
bedrock-agent-runtime,AWS BEDROCK-AGENT-RUNTIME,us-east-1,Resource
bedrock-agentcore,AWS BEDROCK-AGENTCORE,us-east-1,Resource
bedrock-agentcore-control,AWS BEDROCK-AGENTCORE-CONTROL,us-east-1,Resource
bedrock-data-automation,AWS BEDROCK-DATA-AUTOMATION,us-east-1,Resource
bedrock-data-automation-runtime,AWS BEDROCK-DATA-AUTOMATION-RUNTIME,us-east-1,Resource
bedrock-runtime,AWS BEDROCK-RUNTIME,us-east-1,Resource
billing,AWS BILLING,us-east-1,Resource
billingconductor,AWS BILLINGCONDUCTOR,aws-global,Resource
braket,AWS BRAKET,us-east-1,Resource
budgets,AWS BUDGETS,aws-global,Resource
ce,AWS CE,aws-global,Resource
chatbot,AWS CHATBOT,us-east-1,Resource
chime,AWS CHIME,aws-global,Resource
chime-sdk-identity,AWS CHIME-SDK-IDENTITY,us-east-1,Resource
chime-sdk-media-pipelines,AWS CHIME-SDK-MEDIA-PIPELINES,us-east-1,Resource
chime-sdk-meetings,AWS CHIME-SDK-MEETINGS,us-east-1,Resource
chime-sdk-messaging,AWS CHIME-SDK-MESSAGING,us-east-1,Resource
cloudfront-keyvaluestore,AWS CLOUDFRONT-KEYVALUESTORE,us-east-1,Resource
chime-sdk-voice,AWS CHIME-SDK-VOICE,us-east-1,Resource
cloud9,AWS CLOUD9,us-east-1,Resource
cloudcontrol,AWS CLOUDCONTROL,us-east-1,Resource
cleanroomsml,AWS CLEANROOMSML,us-east-1,Resource
cleanrooms,AWS CLEANROOMS,us-east-1,Resource
clouddirectory,AWS CLOUDDIRECTORY,us-east-1,Resource
cloudhsm,AWS CLOUDHSM,us-east-1,Resource
cloudformation,AWS CloudFormation,us-east-1,Stack
cloudfront,Amazon CloudFront,aws-global,Distribution
cloudhsmv2,AWS CLOUDHSMV2,us-east-1,Resource
cloudsearch,AWS CLOUDSEARCH,us-east-1,Resource
cloudtrail,AWS CLOUDTRAIL,us-east-1,Resource
cloudsearchdomain,AWS CLOUDSEARCHDOMAIN,us-east-1,Resource
cloudtrail-data,AWS CLOUDTRAIL-DATA,us-east-1,Resource
codeartifact,AWS CODEARTIFACT,us-east-1,Resource
cloudwatch,Amazon CloudWatch,us-east-1,Alarm
codebuild,AWS CodeBuild,us-east-1,Project
codecatalyst,AWS CODECATALYST,aws-global,Resource
codecommit,AWS CODECOMMIT,us-east-1,Resource
codeconnections,AWS CODECONNECTIONS,us-east-1,Resource
codedeploy,AWS CODEDEPLOY,us-east-1,Resource
codeguru-reviewer,AWS CODEGURU-REVIEWER,us-east-1,Resource
codeguru-security,AWS CODEGURU-SECURITY,us-east-1,Resource
codeguruprofiler,AWS CODEGURUPROFILER,us-east-1,Resource
codepipeline,AWS CodePipeline,us-east-1,Pipeline
codestar-connections,AWS CODESTAR-CONNECTIONS,us-east-1,Resource
codestar-notifications,AWS CODESTAR-NOTIFICATIONS,us-east-1,Resource
cognito-identity,AWS COGNITO-IDENTITY,us-east-1,Resource
cognito-idp,AWS COGNITO-IDP,us-east-1,Resource
cognito-sync,AWS COGNITO-SYNC,us-east-1,Resource
comprehend,AWS COMPREHEND,us-east-1,Resource
comprehendmedical,AWS COMPREHENDMEDICAL,us-east-1,Resource
compute-optimizer-automation,AWS COMPUTE-OPTIMIZER-AUTOMATION,us-east-1,Resource
compute-optimizer,AWS COMPUTE-OPTIMIZER,us-east-1,Resource
config,AWS CONFIG,us-east-1,Resource
connect-contact-lens,AWS CONNECT-CONTACT-LENS,us-east-1,Resource
connectcampaigns,AWS CONNECTCAMPAIGNS,us-east-1,Resource
connect,AWS CONNECT,us-east-1,Resource
connectcampaignsv2,AWS CONNECTCAMPAIGNSV2,us-east-1,Resource
connectcases,AWS CONNECTCASES,us-east-1,Resource
connectparticipant,AWS CONNECTPARTICIPANT,us-east-1,Resource
controlcatalog,AWS CONTROLCATALOG,us-east-1,Resource
controltower,AWS CONTROLTOWER,us-east-1,Resource
cost-optimization-hub,AWS COST-OPTIMIZATION-HUB,us-east-1,Resource
cur,AWS CUR,us-east-1,Resource
customer-profiles,AWS CUSTOMER-PROFILES,us-east-1,Resource
databrew,AWS DATABREW,us-east-1,Resource
datasync,AWS DATASYNC,us-east-1,Resource
dataexchange,AWS DATAEXCHANGE,us-east-1,Resource
datapipeline,AWS DATAPIPELINE,us-east-1,Resource
dax,AWS DAX,us-east-1,Resource
detective,AWS DETECTIVE,us-east-1,Resource
datazone,AWS DATAZONE,us-east-1,Resource
deadline,AWS DEADLINE,us-east-1,Resource
devicefarm,AWS DEVICEFARM,us-east-1,Resource
devops-guru,AWS DEVOPS-GURU,us-east-1,Resource
directconnect,AWS DIRECTCONNECT,us-east-1,Resource
discovery,AWS DISCOVERY,us-east-1,Resource
dlm,AWS DLM,us-east-1,Resource
dms,AWS DMS,us-east-1,Resource
docdb,AWS DOCDB,us-east-1,Resource
docdb-elastic,AWS DOCDB-ELASTIC,us-east-1,Resource
drs,AWS DRS,us-east-1,Resource
ds,AWS DS,us-east-1,Resource
ds-data,AWS DS-DATA,us-east-1,Resource
dsql,AWS DSQL,us-east-1,Resource
dynamodbstreams,AWS DYNAMODBSTREAMS,us-east-1,Resource
dynamodb,Amazon DynamoDB,us-east-1,Table
ebs,AWS EBS,us-east-1,Resource
ec2,Amazon Elastic Compute Cloud,us-east-1,Instance
ec2-instance-connect,AWS EC2-INSTANCE-CONNECT,us-east-1,Resource
ecr-public,AWS ECR-PUBLIC,us-east-1,Resource
ecr,AWS ECR,us-east-1,Resource
ecs,Amazon Elastic Container Service,us-east-1,Cluster
efs,AWS EFS,us-east-1,Resource
eks-auth,AWS EKS-AUTH,us-east-1,Resource
elasticbeanstalk,AWS ELASTICBEANSTALK,us-east-1,Resource
eks,Amazon Elastic Kubernetes Service,us-east-1,Cluster
elastictranscoder,AWS ELASTICTRANSCODER,us-east-1,Resource
elasticache,AWS ELASTICACHE,us-east-1,Resource
elb,Elastic Load Balancing,us-east-1,LoadBalancer
elbv2,AWS ELBV2,us-east-1,Resource
emr,AWS EMR,us-east-1,Resource
emr-containers,AWS EMR-CONTAINERS,us-east-1,Resource
entityresolution,AWS ENTITYRESOLUTION,us-east-1,Resource
emr-serverless,AWS EMR-SERVERLESS,us-east-1,Resource
es,AWS ES,us-east-1,Resource
events,AWS EVENTS,us-east-1,Resource
evs,AWS EVS,us-east-1,Resource
evidently,AWS EVIDENTLY,us-east-1,Resource
finspace,AWS FINSPACE,us-east-1,Resource
finspace-data,AWS FINSPACE-DATA,us-east-1,Resource
firehose,AWS FIREHOSE,us-east-1,Resource
fis,AWS FIS,us-east-1,Resource
fms,AWS FMS,us-east-1,Resource
forecast,AWS FORECAST,us-east-1,Resource
forecastquery,AWS FORECASTQUERY,us-east-1,Resource
frauddetector,AWS FRAUDDETECTOR,us-east-1,Resource
freetier,AWS FREETIER,us-east-1,Resource
fsx,AWS FSX,us-east-1,Resource
gamelift,AWS GAMELIFT,us-east-1,Resource
gameliftstreams,AWS GAMELIFTSTREAMS,us-east-1,Resource
geo-maps,AWS GEO-MAPS,us-east-1,Resource
geo-places,AWS GEO-PLACES,us-east-1,Resource
geo-routes,AWS GEO-ROUTES,us-east-1,Resource
globalaccelerator,AWS GLOBALACCELERATOR,us-east-1,Resource
glacier,AWS GLACIER,us-east-1,Resource
grafana,AWS GRAFANA,us-east-1,Resource
greengrass,AWS GREENGRASS,us-east-1,Resource
glue,AWS GLUE,us-east-1,Resource
greengrassv2,AWS GREENGRASSV2,us-east-1,Resource
groundstation,AWS GROUNDSTATION,us-east-1,Resource
guardduty,AWS GUARDDUTY,us-east-1,Resource
health,AWS HEALTH,aws-global,Resource
healthlake,AWS HEALTHLAKE,us-east-1,Resource
identitystore,AWS IDENTITYSTORE,us-east-1,Resource
iam,AWS Identity and Access Management,aws-global,Role
imagebuilder,AWS IMAGEBUILDER,us-east-1,Resource
importexport,AWS IMPORTEXPORT,aws-global,Resource
inspector,AWS INSPECTOR,us-east-1,Resource
inspector-scan,AWS INSPECTOR-SCAN,us-east-1,Resource
inspector2,AWS INSPECTOR2,us-east-1,Resource
internetmonitor,AWS INTERNETMONITOR,us-east-1,Resource
invoicing,AWS INVOICING,us-east-1,Resource
iot,AWS IOT,us-east-1,Resource
iot-data,AWS IOT-DATA,us-east-1,Resource
iot-jobs-data,AWS IOT-JOBS-DATA,us-east-1,Resource
iot-managed-integrations,AWS IOT-MANAGED-INTEGRATIONS,us-east-1,Resource
iotanalytics,AWS IOTANALYTICS,us-east-1,Resource
iotdeviceadvisor,AWS IOTDEVICEADVISOR,us-east-1,Resource
iotevents,AWS IOTEVENTS,us-east-1,Resource
iotevents-data,AWS IOTEVENTS-DATA,us-east-1,Resource
iotfleetwise,AWS IOTFLEETWISE,us-east-1,Resource
iotsecuretunneling,AWS IOTSECURETUNNELING,us-east-1,Resource
iotsitewise,AWS IOTSITEWISE,us-east-1,Resource
iotthingsgraph,AWS IOTTHINGSGRAPH,us-east-1,Resource
iottwinmaker,AWS IOTTWINMAKER,us-east-1,Resource
iotwireless,AWS IOTWIRELESS,us-east-1,Resource
ivs,AWS IVS,us-east-1,Resource
ivs-realtime,AWS IVS-REALTIME,us-east-1,Resource
ivschat,AWS IVSCHAT,us-east-1,Resource
kafka,AWS KAFKA,us-east-1,Resource
kafkaconnect,AWS KAFKACONNECT,us-east-1,Resource
kendra,AWS KENDRA,us-east-1,Resource
kendra-ranking,AWS KENDRA-RANKING,us-east-1,Resource
keyspaces,AWS KEYSPACES,us-east-1,Resource
keyspacesstreams,AWS KEYSPACESSTREAMS,us-east-1,Resource
kinesis,AWS KINESIS,us-east-1,Resource
kinesis-video-media,AWS KINESIS-VIDEO-MEDIA,us-east-1,Resource
kinesis-video-archived-media,AWS KINESIS-VIDEO-ARCHIVED-MEDIA,us-east-1,Resource
kinesis-video-signaling,AWS KINESIS-VIDEO-SIGNALING,us-east-1,Resource
kinesis-video-webrtc-storage,AWS KINESIS-VIDEO-WEBRTC-STORAGE,us-east-1,Resource
kinesisanalytics,AWS KINESISANALYTICS,us-east-1,Resource
kinesisanalyticsv2,AWS KINESISANALYTICSV2,us-east-1,Resource
kinesisvideo,AWS KINESISVIDEO,us-east-1,Resource
kms,AWS KMS,us-east-1,Resource
lakeformation,AWS LAKEFORMATION,us-east-1,Resource
lambda,AWS Lambda,us-east-1,Function
launch-wizard,AWS LAUNCH-WIZARD,us-east-1,Resource
lex-models,AWS LEX-MODELS,us-east-1,Resource
lex-runtime,AWS LEX-RUNTIME,us-east-1,Resource
lexv2-models,AWS LEXV2-MODELS,us-east-1,Resource
lexv2-runtime,AWS LEXV2-RUNTIME,us-east-1,Resource
license-manager,AWS LICENSE-MANAGER,us-east-1,Resource
license-manager-linux-subscriptions,AWS LICENSE-MANAGER-LINUX-SUBSCRIPTIONS,us-east-1,Resource
license-manager-user-subscriptions,AWS LICENSE-MANAGER-USER-SUBSCRIPTIONS,us-east-1,Resource
lightsail,AWS LIGHTSAIL,us-east-1,Resource
location,AWS LOCATION,us-east-1,Resource
lookoutequipment,AWS LOOKOUTEQUIPMENT,us-east-1,Resource
logs,AWS LOGS,us-east-1,Resource
m2,AWS M2,us-east-1,Resource
machinelearning,AWS MACHINELEARNING,us-east-1,Resource
macie2,AWS MACIE2,us-east-1,Resource
mailmanager,AWS MAILMANAGER,us-east-1,Resource
managedblockchain,AWS MANAGEDBLOCKCHAIN,us-east-1,Resource
managedblockchain-query,AWS MANAGEDBLOCKCHAIN-QUERY,us-east-1,Resource
marketplace-agreement,AWS MARKETPLACE-AGREEMENT,us-east-1,Resource
marketplace-catalog,AWS MARKETPLACE-CATALOG,us-east-1,Resource
marketplace-deployment,AWS MARKETPLACE-DEPLOYMENT,us-east-1,Resource
marketplace-entitlement,AWS MARKETPLACE-ENTITLEMENT,us-east-1,Resource
marketplace-reporting,AWS MARKETPLACE-REPORTING,us-east-1,Resource
marketplacecommerceanalytics,AWS MARKETPLACECOMMERCEANALYTICS,us-east-1,Resource
mediaconnect,AWS MEDIACONNECT,us-east-1,Resource
mediaconvert,AWS MEDIACONVERT,us-east-1,Resource
mediapackage,AWS MEDIAPACKAGE,us-east-1,Resource
medialive,AWS MEDIALIVE,us-east-1,Resource
mediapackage-vod,AWS MEDIAPACKAGE-VOD,us-east-1,Resource
mediapackagev2,AWS MEDIAPACKAGEV2,us-east-1,Resource
mediastore,AWS MEDIASTORE,us-east-1,Resource
mediastore-data,AWS MEDIASTORE-DATA,us-east-1,Resource
mediatailor,AWS MEDIATAILOR,us-east-1,Resource
medical-imaging,AWS MEDICAL-IMAGING,us-east-1,Resource
memorydb,AWS MEMORYDB,us-east-1,Resource
meteringmarketplace,AWS METERINGMARKETPLACE,us-east-1,Resource
mgh,AWS MGH,us-east-1,Resource
mgn,AWS MGN,us-east-1,Resource
migration-hub-refactor-spaces,AWS MIGRATION-HUB-REFACTOR-SPACES,us-east-1,Resource
migrationhub-config,AWS MIGRATIONHUB-CONFIG,us-east-1,Resource
migrationhuborchestrator,AWS MIGRATIONHUBORCHESTRATOR,us-east-1,Resource
migrationhubstrategy,AWS MIGRATIONHUBSTRATEGY,us-east-1,Resource
mpa,AWS MPA,us-east-1,Resource
mq,AWS MQ,us-east-1,Resource
mturk,AWS MTURK,us-east-1,Resource
mwaa,AWS MWAA,us-east-1,Resource
mwaa-serverless,AWS MWAA-SERVERLESS,us-east-1,Resource
neptune,AWS NEPTUNE,us-east-1,Resource
neptune-graph,AWS NEPTUNE-GRAPH,us-east-1,Resource
neptunedata,AWS NEPTUNEDATA,us-east-1,Resource
network-firewall,AWS NETWORK-FIREWALL,us-east-1,Resource
networkflowmonitor,AWS NETWORKFLOWMONITOR,us-east-1,Resource
networkmanager,AWS NETWORKMANAGER,aws-global,Resource
networkmonitor,AWS NETWORKMONITOR,us-east-1,Resource
notifications,AWS NOTIFICATIONS,us-east-1,Resource
notificationscontacts,AWS NOTIFICATIONSCONTACTS,aws-global,Resource
oam,AWS OAM,us-east-1,Resource
observabilityadmin,AWS OBSERVABILITYADMIN,us-east-1,Resource
odb,AWS ODB,us-east-1,Resource
omics,AWS OMICS,us-east-1,Resource
opensearch,AWS OPENSEARCH,us-east-1,Resource
opensearchserverless,AWS OPENSEARCHSERVERLESS,us-east-1,Resource
pca-connector-scep,AWS PCA-CONNECTOR-SCEP,us-east-1,Resource
organizations,AWS ORGANIZATIONS,aws-global,Resource
osis,AWS OSIS,us-east-1,Resource
outposts,AWS OUTPOSTS,us-east-1,Resource
panorama,AWS PANORAMA,us-east-1,Resource
partnercentral-channel,AWS PARTNERCENTRAL-CHANNEL,us-east-1,Resource
partnercentral-selling,AWS PARTNERCENTRAL-SELLING,us-east-1,Resource
payment-cryptography,AWS PAYMENT-CRYPTOGRAPHY,us-east-1,Resource
payment-cryptography-data,AWS PAYMENT-CRYPTOGRAPHY-DATA,us-east-1,Resource
pca-connector-ad,AWS PCA-CONNECTOR-AD,us-east-1,Resource
pcs,AWS PCS,us-east-1,Resource
personalize,AWS PERSONALIZE,us-east-1,Resource
personalize-events,AWS PERSONALIZE-EVENTS,us-east-1,Resource
personalize-runtime,AWS PERSONALIZE-RUNTIME,us-east-1,Resource
pi,AWS PI,us-east-1,Resource
pinpoint,AWS PINPOINT,us-east-1,Resource
pinpoint-email,AWS PINPOINT-EMAIL,us-east-1,Resource
pinpoint-sms-voice,AWS PINPOINT-SMS-VOICE,us-east-1,Resource
pinpoint-sms-voice-v2,AWS PINPOINT-SMS-VOICE-V2,us-east-1,Resource
pipes,AWS PIPES,us-east-1,Resource
polly,AWS POLLY,us-east-1,Resource
pricing,AWS PRICING,us-east-1,Resource
proton,AWS PROTON,us-east-1,Resource
qapps,AWS QAPPS,us-east-1,Resource
qbusiness,AWS QBUSINESS,us-east-1,Resource
qconnect,AWS QCONNECT,us-east-1,Resource
ram,AWS RAM,us-east-1,Resource
quicksight,AWS QUICKSIGHT,us-east-1,Resource
rbin,AWS RBIN,us-east-1,Resource
rds,Amazon Relational Database Service,us-east-1,DBInstance
rds-data,AWS RDS-DATA,us-east-1,Resource
redshift,AWS REDSHIFT,us-east-1,Resource
resource-groups,AWS RESOURCE-GROUPS,us-east-1,Resource
redshift-data,AWS REDSHIFT-DATA,us-east-1,Resource
redshift-serverless,AWS REDSHIFT-SERVERLESS,us-east-1,Resource
rekognition,AWS REKOGNITION,us-east-1,Resource
repostspace,AWS REPOSTSPACE,us-east-1,Resource
resiliencehub,AWS RESILIENCEHUB,us-east-1,Resource
resource-explorer-2,AWS RESOURCE-EXPLORER-2,us-east-1,Resource
resourcegroupstaggingapi,AWS RESOURCEGROUPSTAGGINGAPI,us-east-1,Resource
rolesanywhere,AWS ROLESANYWHERE,us-east-1,Resource
route53,Amazon Route 53,aws-global,HostedZone
route53-recovery-cluster,AWS ROUTE53-RECOVERY-CLUSTER,us-east-1,Resource
route53-recovery-control-config,AWS ROUTE53-RECOVERY-CONTROL-CONFIG,us-east-1,Resource
route53-recovery-readiness,AWS ROUTE53-RECOVERY-READINESS,us-east-1,Resource
route53domains,AWS ROUTE53DOMAINS,us-east-1,Resource
route53profiles,AWS ROUTE53PROFILES,us-east-1,Resource
route53resolver,AWS ROUTE53RESOLVER,us-east-1,Resource
rtbfabric,AWS RTBFABRIC,us-east-1,Resource
rum,AWS RUM,us-east-1,Resource
s3,Amazon Simple Storage Service,us-east-1,Bucket
s3control,AWS S3CONTROL,us-east-1,Resource
s3outposts,AWS S3OUTPOSTS,us-east-1,Resource
s3tables,AWS S3TABLES,us-east-1,Resource
s3vectors,AWS S3VECTORS,us-east-1,Resource
sagemaker-a2i-runtime,AWS SAGEMAKER-A2I-RUNTIME,us-east-1,Resource
sagemaker-edge,AWS SAGEMAKER-EDGE,us-east-1,Resource
sagemaker,AWS SAGEMAKER,us-east-1,Resource
sagemaker-featurestore-runtime,AWS SAGEMAKER-FEATURESTORE-RUNTIME,us-east-1,Resource
sagemaker-geospatial,AWS SAGEMAKER-GEOSPATIAL,us-east-1,Resource
sagemaker-metrics,AWS SAGEMAKER-METRICS,us-east-1,Resource
sagemaker-runtime,AWS SAGEMAKER-RUNTIME,us-east-1,Resource
savingsplans,AWS SAVINGSPLANS,aws-global,Resource
scheduler,AWS SCHEDULER,us-east-1,Resource
schemas,AWS SCHEMAS,us-east-1,Resource
sdb,AWS SDB,us-east-1,Resource
secretsmanager,AWS SECRETSMANAGER,us-east-1,Resource
security-ir,AWS SECURITY-IR,us-east-1,Resource
securityhub,AWS SECURITYHUB,us-east-1,Resource
securitylake,AWS SECURITYLAKE,us-east-1,Resource
serverlessrepo,AWS SERVERLESSREPO,us-east-1,Resource
service-quotas,AWS SERVICE-QUOTAS,us-east-1,Resource
servicecatalog,AWS SERVICECATALOG,us-east-1,Resource
servicecatalog-appregistry,AWS SERVICECATALOG-APPREGISTRY,us-east-1,Resource
servicediscovery,AWS SERVICEDISCOVERY,us-east-1,Resource
ses,AWS SES,us-east-1,Resource
sesv2,AWS SESV2,us-east-1,Resource
shield,AWS SHIELD,aws-global,Resource
signer,AWS SIGNER,us-east-1,Resource
snow-device-management,AWS SNOW-DEVICE-MANAGEMENT,us-east-1,Resource
signin,AWS SIGNIN,us-east-1,Resource
simspaceweaver,AWS SIMSPACEWEAVER,us-east-1,Resource
sms-voice,AWS SMS-VOICE,us-east-1,Resource
snowball,AWS SNOWBALL,us-east-1,Resource
sns,Amazon Simple Notification Service,us-east-1,Topic
socialmessaging,AWS SOCIALMESSAGING,us-east-1,Resource
sqs,Amazon Simple Queue Service,us-east-1,Queue
ssm,AWS SSM,us-east-1,Resource
ssm-contacts,AWS SSM-CONTACTS,us-east-1,Resource
ssm-guiconnect,AWS SSM-GUICONNECT,us-east-1,Resource
ssm-incidents,AWS SSM-INCIDENTS,us-east-1,Resource
ssm-quicksetup,AWS SSM-QUICKSETUP,us-east-1,Resource
ssm-sap,AWS SSM-SAP,us-east-1,Resource
sso,AWS SSO,us-east-1,Resource
sso-admin,AWS SSO-ADMIN,us-east-1,Resource
sso-oidc,AWS SSO-OIDC,us-east-1,Resource
stepfunctions,AWS STEPFUNCTIONS,us-east-1,Resource
storagegateway,AWS STORAGEGATEWAY,us-east-1,Resource
sts,AWS STS,us-east-1,Resource
supplychain,AWS SUPPLYCHAIN,us-east-1,Resource
support,AWS SUPPORT,us-east-1,Resource
support-app,AWS SUPPORT-APP,us-east-1,Resource
swf,AWS SWF,us-east-1,Resource
synthetics,AWS SYNTHETICS,us-east-1,Resource
taxsettings,AWS TAXSETTINGS,aws-global,Resource
textract,AWS TEXTRACT,us-east-1,Resource
timestream-influxdb,AWS TIMESTREAM-INFLUXDB,us-east-1,Resource
timestream-query,AWS TIMESTREAM-QUERY,us-east-1,Resource
timestream-write,AWS TIMESTREAM-WRITE,us-east-1,Resource
tnb,AWS TNB,us-east-1,Resource
transcribe,AWS TRANSCRIBE,us-east-1,Resource
transfer,AWS TRANSFER,us-east-1,Resource
translate,AWS TRANSLATE,us-east-1,Resource
trustedadvisor,AWS TRUSTEDADVISOR,us-east-1,Resource
verifiedpermissions,AWS VERIFIEDPERMISSIONS,us-east-1,Resource
voice-id,AWS VOICE-ID,us-east-1,Resource
vpc-lattice,AWS VPC-LATTICE,us-east-1,Resource
waf,AWS WAF,aws-global,Resource
waf-regional,AWS WAF-REGIONAL,us-east-1,Resource
wafv2,AWS WAFV2,us-east-1,Resource
wellarchitected,AWS WELLARCHITECTED,us-east-1,Resource
wisdom,AWS WISDOM,us-east-1,Resource
workdocs,AWS WORKDOCS,us-east-1,Resource
workmail,AWS WORKMAIL,us-east-1,Resource
workmailmessageflow,AWS WORKMAILMESSAGEFLOW,us-east-1,Resource
workspaces,AWS WORKSPACES,us-east-1,Resource
workspaces-instances,AWS WORKSPACES-INSTANCES,us-east-1,Resource
workspaces-thin-client,AWS WORKSPACES-THIN-CLIENT,us-east-1,Resource
workspaces-web,AWS WORKSPACES-WEB,us-east-1,Resource
xray,AWS XRAY,us-east-1,Resource
