service_code,service_full_name,main_resource_example,secondary_examples,from_operation,id_fields_seen
odb,odb,CloudAutonomousVmClusterSummary,CloudVmClusterSummary;CloudExadataInfrastructureSummary,ListCloudAutonomousVmClusters,cloudAutonomousVmClusterArn;cloudAutonomousVmClusterId;cloudExadataInfrastructureId;displayName;ociResourceAnchorName;odbNetworkId
omics,Amazon Omics,AnnotationStoreVersionItem,ShareDetail;AnnotationImportJobItem,ListAnnotationStoreVersions,storeId;versionArn;versionName
opensearch,Amazon OpenSearch Service,DomainMaintenanceDetail,DomainStatu;ReservedInstance,ListDomainMaintenances,DomainName;MaintenanceId;NodeId
opensearchserverless,OpenSearch Service Serverless,CollectionDetail,securityGroup;securityGroup,BatchGetCollection,kmsKeyArn
opsworks,AWS OpsWorks,EcsCluster,Instance;Layer,DescribeEcsClusters,EcsClusterArn;EcsClusterName;StackId
opsworkscm,AWS OpsWorks CM,Backup,Server;AccountAttribute,DescribeBackups,BackupArn;BackupId;InstanceProfileArn;ServerName;ServiceRoleArn;UserArn
organizations,AWS Organizations,Account,Account;Account,ListAccounts,Arn;Id;Name
osis,Amazon OpenSearch Ingestion,PipelineSummary,PipelineBlueprintSummary;PipelineDestination,ListPipelines,PipelineArn;PipelineName
outposts,AWS Outposts,Outpost,Site;AssetInstance,ListOutposts,AvailabilityZoneId;Name;OutpostArn;OutpostId;OwnerId;SiteArn;SiteId
panorama,AWS Panorama,ApplicationInstance,Node;PackageListItem,ListApplicationInstances,ApplicationInstanceId;Arn;DefaultRuntimeContextDeviceName;Name
partnercentral-selling,Partner Central Selling API,EngagementInvitationSummary,ResourceSnapshotSummary;SolutionBase,ListEngagementInvitations,Arn;EngagementId;Id;SenderAwsAccountId;SenderCompanyName
payment-cryptography,Payment Cryptography Control Plane,Alia,KeySummary,ListAliases,AliasName;KeyArn
pca-connector-ad,PcaConnectorAd,AccessControlEntrySummary,ConnectorSummary;DirectoryRegistrationSummary,ListTemplateGroupAccessControlEntries,GroupDisplayName;TemplateArn
pca-connector-scep,Private CA Connector for SCEP,ConnectorSummary,ChallengeMetadataSummary,ListConnectors,Arn;CertificateAuthorityArn
pcs,AWS Parallel Computing Service,QueueSummary,ComputeNodeGroupSummary;ComputeNodeGroupConfiguration,ListQueues,clusterId
personalize,Amazon Personalize,BatchInferenceJobSummary,BatchSegmentJobSummary;DataDeletionJobSummary,ListBatchInferenceJobs,batchInferenceJobArn;jobName;solutionVersionArn
personalize-runtime,Amazon Personalize Runtime,PredictedItem,PredictedItem;PredictedAction,GetPersonalizedRanking,itemId;promotionName
pi,AWS Performance Insights,AnalysisReportSummary,Partition;Insight,ListPerformanceAnalysisReports,AnalysisReportId
pinpoint,Amazon Pinpoint,ApplicationResponse,CampaignResponse;CampaignResponse,GetApps,Arn;Id;Name
pinpoint-email,Amazon Pinpoint Email Service,DeliverabilityTestReport,DomainDeliverabilityCampaign;ConfigurationSet,ListDeliverabilityTestReports,ReportId;ReportName
pinpoint-sms-voice,Amazon Pinpoint SMS and Voice Service,EventDestination,MatchingEventType,GetConfigurationSetEventDestinations,Name
pinpoint-sms-voice-v2,Amazon Pinpoint SMS Voice V2,ConfigurationSetInformation,PhoneNumberInformation;PoolInformation,DescribeConfigurationSets,ConfigurationSetArn;ConfigurationSetName;DefaultSenderId;ProtectConfigurationId
pipes,Amazon EventBridge Pipes,Pipe,AdditionalBootstrapServer;BatchEnvironmentVariable,ListPipes,Arn;Name
polly,Amazon Polly,SynthesisTask,Voice;AdditionalLanguageCode,ListSpeechSynthesisTasks,SnsTopicArn;TaskId;VoiceId
pricing,AWS Price List Service,Attribute,FileFormat;PriceList,DescribeServices,AttributeName
proton,AWS Proton,DeploymentSummary,EnvironmentAccountConnectionSummary;EnvironmentSummary,ListDeployments,componentName;environmentName;lastAttemptedDeploymentId;lastSucceededDeploymentId;serviceInstanceName;serviceName;targetArn
qapps,QApps,UserAppItem,LibraryItemMember;QAppSessionData,ListQApps,appArn;appId
qbusiness,QBusiness,ChatResponseConfiguration,DataAccessor;Application,ListChatResponseConfigurations,chatResponseConfigurationArn;chatResponseConfigurationId;displayName
qconnect,Amazon Q Connect,AIAgentSummary,AIGuardrailSummary;AIPromptSummary,ListAIAgents,aiAgentArn;aiAgentId;assistantArn;assistantId
qldb,Amazon QLDB,JournalKinesisStreamDescription,JournalS3ExportDescription;JournalS3ExportDescription,ListJournalKinesisStreamsForLedger,Arn;LedgerName;RoleArn;StreamId;StreamName
quicksight,Amazon QuickSight,TopicRefreshScheduleSummary,TopicSummary;User,ListTopicRefreshSchedules,DatasetArn;DatasetId;DatasetName
ram,AWS Resource Access Manager,ResourceShareInvitation,ResourceShare;ResourceShareAssociation,GetResourceShareInvitations,receiverAccountId;receiverArn;resourceShareArn;resourceShareInvitationArn;resourceShareName;senderAccountId
rbin,Amazon Recycle Bin,RuleSummary,,ListRules,RuleArn
rds,Amazon Relational Database Service,DBCluster,DBInstance;DBInstanceAutomatedBackup,DescribeDBClusters,ActivityStreamKinesisStreamName;ActivityStreamKmsKeyId;AwsBackupRecoveryPointArn;CharacterSetName;CloneGroupId;DBClusterArn;DBSystemId;DatabaseName;DbClusterResourceId;HostedZoneId;KmsKeyId;MonitoringRoleArn;PerformanceInsightsKMSKeyId
rds-data,AWS RDS DataService,booleanValue,booleanValue;booleanValue,BatchExecuteStatement,booleanValueName
redshift,Amazon Redshift,Cluster,Integration;Snapshot,DescribeClusters,ClusterNamespaceArn;ClusterSubnetGroupName;CustomDomainCertificateArn;CustomDomainName;DBName;DefaultIamRoleArn;KmsKeyId;MaintenanceTrackName;MasterPasswordSecretArn;MasterPasswordSecretKmsKeyId;VpcId
redshift-data,Redshift Data API Service,StatementData,Databa;QueryString,ListStatements,Id;SecretArn;SessionId;StatementName
redshift-serverless,Redshift Serverless,ManagedWorkgroupListItem,Namespace;RecoveryPoint,ListManagedWorkgroups,managedWorkgroupId;managedWorkgroupName;sourceArn
rekognition,Amazon Rekognition,MediaAnalysisJobDescription,ProjectPolicy;ProjectVersionDescription,ListMediaAnalysisJobs,JobId;JobName;KmsKeyId
repostspace,AWS re:Post Private,ChannelData,allowedDomain;SpaceData,ListChannels,channelId;channelName;spaceId
resiliencehub,AWS Resilience Hub,AlarmRecommendation,AppAssessmentSummary;AppInputSource,ListAlarmRecommendations,appComponentName;recommendationId;referenceId
resource-explorer-2,AWS Resource Explorer,MemberIndex,Resource;Resource,ListIndexesForMembers,AccountId;Arn
resource-groups,AWS Resource Groups,Group,GroupIdentifier;GroupingStatusesItem,ListGroups,DisplayName;GroupArn;Name
resourcegroupstaggingapi,AWS Resource Groups Tagging API,KeysWithNoncompliantValue,NoncompliantKey;Summary,GetResources,KeysWithNoncompliantValueName
robomaker,AWS RoboMaker,Robot,Robot;command,DescribeFleet,fleetArn;greenGrassGroupId
rolesanywhere,IAM Roles Anywhere,ProfileDetail,CrlDetail;SubjectSummary,ListProfiles,acceptRoleSessionName;profileArn;profileId
route53,Amazon Route 53,CollectionSummary,HostedZone;HostedZone,ListCidrCollections,Arn;Id;Name
route53-recovery-cluster,Route53 Recovery Cluster,RoutingControl,,ListRoutingControls,ControlPanelArn;ControlPanelName;RoutingControlArn;RoutingControlName
route53-recovery-control-config,AWS Route53 Recovery Control Config,Cluster,ControlPanel;RoutingControl,ListClusters,ClusterArn;Name
route53-recovery-readiness,AWS Route53 Recovery Readiness,CellOutput,ReadinessCheckOutput;RecoveryGroupOutput,ListCells,CellArn;CellName
route53domains,Amazon Route 53 Domains,OperationSummary,BillingRecord;DomainPrice,ListOperations,DomainName;OperationId
route53profiles,Route 53 Profiles,ProfileResourceAssociation,ProfileSummary;ProfileAssociation,ListProfileResourceAssociations,Id;Name;OwnerId;ProfileId;ResourceArn
route53resolver,Amazon Route 53 Resolver,FirewallRuleGroupAssociation,OutpostResolver;ResolverQueryLogConfig,ListFirewallRuleGroupAssociations,Arn;CreatorRequestId;FirewallRuleGroupId;Id;ManagedOwnerName;Name;VpcId
rum,CloudWatch RUM,AppMonitorSummary,MetricDefinition;MetricDefinition,ListAppMonitors,Id;Name
s3,Amazon Simple Storage Service,Bucket,Bucket;LambdaFunctionConfiguration,ListBuckets,BucketArn;Name
s3control,AWS S3 Control,AccessPoint,AccessPoint;ListAccessGrantsInstanceEntry,ListAccessPoints,AccessPointArn;BucketAccountId;DataSourceId;Name
s3outposts,Amazon S3 on Outposts,Outpost,Endpoint;Endpoint,ListOutpostsWithS3,OutpostArn;OutpostId;OwnerId;S3OutpostArn
s3tables,Amazon S3 Tables,TableBucketSummary,TableSummary;NamespaceSummary,ListTableBuckets,ownerAccountId;tableBucketId
s3vectors,Amazon S3 Vectors,VectorBucketSummary,IndexSummary;float32,ListVectorBuckets,vectorBucketArn;vectorBucketName
sagemaker,Amazon SageMaker Service,ClusterEventSummary,ClusterInstanceGroupDetail;ClusterSchedulerConfigSummary,ListClusterEvents,ClusterArn;ClusterName;EventId;InstanceGroupName;InstanceId
sagemaker-a2i-runtime,Amazon Augmented AI Runtime,HumanLoopSummary,,ListHumanLoops,FlowDefinitionArn;HumanLoopName
sagemaker-edge,Amazon Sagemaker Edge Manager,EdgeDeployment,,GetDeployments,DeploymentName
sagemaker-featurestore-runtime,Amazon SageMaker Feature Store Runtime,BatchGetRecordIdentifier,BatchGetRecordResultDetail;Feature,BatchGetRecord,FeatureGroupName
sagemaker-geospatial,Amazon SageMaker geospatial capabilities,ListEarthObservationJobOutputConfig,ListVectorEnrichmentJobOutputConfig;Filter,ListEarthObservationJobs,Arn;Name
sagemaker-metrics,Amazon SageMaker Metrics Service,MetricValue,XAxisValue,BatchGetMetrics,MetricValueName
savingsplans,AWS Savings Plans,SavingsPlan,SavingsPlanOffering;productType,DescribeSavingsPlans,offeringId;savingsPlanArn;savingsPlanId
scheduler,Amazon EventBridge Scheduler,ScheduleGroupSummary,ScheduleSummary;SageMakerPipelineParameter,ListScheduleGroups,Arn;Name
schemas,Schemas,DiscovererSummary,RegistrySummary;SchemaSummary,ListDiscoverers,DiscovererArn;DiscovererId;SourceArn
sdb,Amazon SimpleDB,Domain,Attribute;Attribute,ListDomains,DomainName
secretsmanager,AWS Secrets Manager,SecretListEntry,SecretValueEntry;KmsKey,ListSecrets,KmsKeyId;Name
security-ir,Security Incident Response,ListCasesItem,ListMembershipItem;CaseAttachmentAttribute,ListCases,caseArn;caseId
securityhub,AWS SecurityHub,AwsIamInstanceProfile,ConnectorSummary;AwsSecurityFinding,GetFindings,Arn;InstanceProfileId;InstanceProfileName
securitylake,Amazon Security Lake,SubscriberResource,DataLakeResource;accessType,ListSubscribers,resourceShareArn;resourceShareName;roleArn;s3BucketArn;subscriberArn;subscriberId;subscriberName
serverlessrepo,AWSServerlessApplicationRepository,ApplicationSummary,ApplicationDependencySummary;Label,ListApplications,ApplicationId;Name;SpdxLicenseId
service-quotas,Service Quotas,RequestedServiceQuotaChange,RequestedServiceQuotaChange;ServiceInfo,ListRequestedServiceQuotaChangeHistory,CaseId;Id;QuotaArn;QuotaName;ServiceName
servicecatalog,AWS Service Catalog,RecordDetail,ProvisionedProductAttribute;ProvisionedProductDetail,ListRecordHistory,LaunchRoleArn;PathId;ProductId;ProvisionedProductId;ProvisionedProductName;ProvisioningArtifactId;RecordId
servicecatalog-appregistry,AWS Service Catalog App Registry,attributeGroup,option;ResourcesListItem,ListAssociatedAttributeGroups,attributeGroupName
servicediscovery,AWS Cloud Map,NamespaceSummary,ServiceSummary;HttpInstanceSummary,ListNamespaces,Arn;Id;Name
ses,Amazon Simple Email Service,CloudWatchDimensionConfiguration,ConfigurationSet;CustomVerificationEmailTemplate,DescribeConfigurationSet,DimensionName
sesv2,Amazon Simple Email Service,TenantInfo,DeliverabilityTestReport;ResourceTenantMetadata,ListTenants,TenantArn;TenantId;TenantName
shield,AWS Shield,Protection,AttackSummary;ProtectionGroup,ListProtections,Id;Name;ProtectionArn;ResourceArn
signer,AWS Signer,SigningProfile,SigningJob;SigningPlatform,ListSigningProfiles,platformDisplayName;platformId;profileName;profileVersionArn
simspaceweaver,AWS SimSpace Weaver,Domain,LaunchCommand;SimulationMetadata,DescribeSimulation,Name
sms,AWS Server Migration Service,AppSummary,Connector;ReplicationJob,ListApps,appId;importedAppId;roleName
sms-voice,Amazon Pinpoint SMS and Voice Service,ConfigurationSet,EventDestination;MatchingEventType,ListConfigurationSets,ConfigurationSetName
snow-device-management,AWS Snow Device Management,DeviceSummary,SecurityGroupIdentifier;TaskSummary,ListDevices,managedDeviceArn;managedDeviceId
snowball,Amazon Import/Export Snowball,Address,Address;CompatibleImage,DescribeAddresses,AddressId;Name
sns,Amazon Simple Notification Service,Topic,NumberCapability;PlatformApplication,ListTopics,TopicArn
socialmessaging,AWS End User Messaging Social,LinkedWhatsAppBusinessAccountSummary,MetaLibraryTemplateDefinition;TemplateSummary,ListLinkedWhatsAppBusinessAccounts,wabaId;wabaName
sqs,Amazon Simple Queue Service,QueueUrl,queueUrl;ListMessageMoveTasksResultEntry,ListQueues,QueueUrlName
ssm,Amazon Simple Systems Manager (SSM),MaintenanceWindowTask,InstanceAssociationStatusInfo;InstanceInformation,DescribeMaintenanceWindowTasks,Name;ServiceRoleArn;TaskArn;WindowId;WindowTaskId
ssm-contacts,AWS Systems Manager Incident Manager Contacts,Rotation,Contact;ContactChannel,ListRotations,Name;RotationArn;TimeZoneId
ssm-guiconnect,AWS SSM-GUIConnect,S3Bucket,S3Bucket,GetConnectionRecordingPreferences,BucketName
ssm-incidents,AWS Systems Manager Incident Manager,EventSummary,EventReference;RelatedItem,ListTimelineEvents,eventId;incidentRecordArn
ssm-quicksetup,AWS Systems Manager QuickSetup,ConfigurationDefinition,ConfigurationManagerSummary;ConfigurationSummary,GetConfigurationManager,Id;LocalDeploymentAdministrationRoleArn;LocalDeploymentExecutionRoleName
ssm-sap,AWS Systems Manager for SAP,ApplicationSummary,ComponentSummary;DatabaseSummary,ListApplications,Arn;Id
sso,AWS Single Sign-On,RoleInfo,AccountInfo,ListAccountRoles,accountId;roleName
sso-admin,AWS Single Sign-On Admin,InstanceMetadata,AccountAssignment;AccountAssignmentForPrincipal,ListInstances,IdentityStoreId;InstanceArn;Name;OwnerAccountId
sso-oidc,AWS SSO OIDC,scope,,CreateTokenWithIAM,scopeName
stepfunctions,AWS Step Functions,ActivityListItem,ExecutionListItem;MapRunListItem,ListActivities,activityArn
storagegateway,AWS Storage Gateway,CachediSCSIVolume,GatewayInfo;NFSFileShareInfo,DescribeCachediSCSIVolumes,SourceSnapshotId;TargetName;VolumeId
supplychain,AWS Supply Chain,Instance,DataIntegrationFlowExecution;DataIntegrationEvent,ListInstances,awsAccountId;instanceId;instanceName;kmsKeyArn
support,AWS Support,AttachmentDetail,AttachmentDetail;CaseDetail,DescribeCases,attachmentId;fileName
support-app,AWS Support App,SlackChannelConfiguration,SlackWorkspaceConfiguration,ListSlackChannelConfigurations,channelId;channelName;channelRoleArn;teamId
swf,Amazon Simple Workflow Service,HistoryEvent,HistoryEvent;DomainInfo,GetWorkflowExecutionHistory,eventId
synthetics,Synthetics,Canary,GroupSummary;GroupSummary,DescribeCanaries,EngineArn;ExecutionRoleArn;Id;Name
taxsettings,Tax Settings,SupplementalTaxRegistration,AccountDetail;serviceTaxCode,ListSupplementalTaxRegistrations,authorityId;legalName;registrationId
textract,Amazon Textract,AdapterOverview,AdapterVersionOverview;FeatureType,ListAdapters,AdapterId;AdapterName
timestream-influxdb,Timestream InfluxDB,vpcSecurityGroup,vpcSecurityGroup;vpcSecurityGroup,CreateDbInstance,vpcSecurityGroupName
timestream-query,Amazon Timestream Query,ScheduledQuery,DimensionMapping;MixedMeasureMapping,ListScheduledQueries,Arn;Name
timestream-write,Amazon Timestream Write,Database,Table;BatchLoadTask,ListDatabases,Arn;DatabaseName;KmsKeyId
tnb,AWS Telco Network Builder,ListSolFunctionInstanceInfo,ListSolFunctionPackageInfo;ListSolNetworkInstanceInfo,ListSolFunctionInstances,nsInstanceId;vnfPkgId;vnfPkgName
transcribe,Amazon Transcribe Service,CallAnalyticsJobSummary,CategoryProperty;LanguageModel,ListCallAnalyticsJobs,CallAnalyticsJobName
transfer,AWS Transfer Family,ListedUser,ListedAgreement;ListedCertificate,ListUsers,Arn;UserName
translate,Amazon Translate,TextTranslationJobProperty,ParallelDataProperty;TerminologyProperty,ListTextTranslationJobs,DataAccessRoleArn;JobId;JobName
trustedadvisor,TrustedAdvisor Public API,AccountRecommendationLifecycleSummary,OrganizationRecommendationResourceSummary;RecommendationResourceSummary,ListOrganizationRecommendationAccounts,accountId;accountRecommendationArn
verifiedpermissions,Amazon Verified Permissions,ActionIdentifier,IdentitySourceItem;audience,ListPolicies,actionId
voice-id,Amazon Voice ID,DomainSummary,FraudsterRegistrationJobSummary;SpeakerEnrollmentJobSummary,ListDomains,Arn;DomainId;Name
vpc-lattice,Amazon VPC Lattice,ServiceNetworkResourceAssociationSummary,ServiceNetworkServiceAssociationSummary;ServiceNetworkVpcAssociationSummary,ListServiceNetworkResourceAssociations,resourceConfigurationArn;resourceConfigurationId;resourceConfigurationName;serviceNetworkArn;serviceNetworkId;serviceNetworkName
waf,AWS WAF,ByteMatchSetSummary,GeoMatchSetSummary;IPSetSummary,ListByteMatchSets,ByteMatchSetId;Name
waf-regional,AWS WAF Regional,ByteMatchSetSummary,GeoMatchSetSummary;IPSetSummary,ListByteMatchSets,ByteMatchSetId;Name
wafv2,AWS WAFV2,ManagedProductDescriptor,ManagedProductDescriptor;IPSetSummary,DescribeAllManagedProducts,ManagedRuleSetName;ProductId;SnsTopicArn;VendorName
wellarchitected,AWS Well-Architected Tool,CheckDetail,CheckSummary;ProfileNotificationSummary,ListCheckDetails,AccountId;ChoiceId;Id;LensArn;Name;PillarId;QuestionId
wisdom,Amazon Connect Wisdom Service,AssistantAssociationSummary,AssistantSummary;ContentSummary,ListAssistantAssociations,assistantArn;assistantAssociationArn;assistantAssociationId;assistantId
workdocs,Amazon WorkDocs,User,ResourcePathComponent;ResourcePathComponent,DescribeUsers,GivenName;Id;OrganizationId;RecycleBinFolderId;RootFolderId;TimeZoneId
workmail,Amazon WorkMail,ImpersonationRole,User;Group,ListImpersonationRoles,ImpersonationRoleId;Name
workspaces,Amazon WorkSpaces,WorkspacesPool,ConnectClientAddIn;WorkSpaceApplication,DescribeWorkspacesPools,BundleId;DirectoryId;PoolArn;PoolId;PoolName
workspaces-instances,Amazon Workspaces Instances,WorkspaceInstance,Region;InstanceTypeInfo,ListWorkspaceInstances,WorkspaceInstanceId
workspaces-thin-client,Amazon WorkSpaces Thin Client,EnvironmentSummary,DeviceSummary;daysOfTheWeek,ListEnvironments,desiredSoftwareSetId;desktopArn;pendingSoftwareSetId
workspaces-web,Amazon WorkSpaces Web,DataProtectionSettingsSummary,IdentityProviderSummary;IpAccessSettingsSummary,ListDataProtectionSettings,dataProtectionSettingsArn;displayName
xray,AWS X-Ray,FaultRootCauseService,InsightImpactGraphService;InsightSummary,GetTraceSummaries,AccountId;Name
